task,task_type,priority
Study closet,Study,Medium
Pay kitchen,Study,Medium
Call meeting,Shopping,Medium
Call meeting,Shopping,High
Watch bills,Personal,Medium
Watch movie,Study,High
Organize slides,Shopping,Medium
Attend kitchen,Personal,Low
Write bills,Study,High
Study appointment,Shopping,High
Prepare trip,Personal,Medium
Prepare blog post,Study,Medium
Plan project report,Work,Low
Pay trip,Personal,Medium
Submit homework,Personal,Low
Pay movie,Shopping,High
Buy book,Shopping,Low
Plan homework,Study,High
Schedule bills,Work,Low
Organize project report,Work,Medium
Pay groceries,Study,Medium
Schedule appointment,Work,Medium
Watch appointment,Study,Low
Clean homework,Shopping,Medium
Read book,Personal,High
Organize bills,Personal,Medium
Organize slides,Personal,High
Prepare trip,Study,Low
Pay trip,Study,High
Call kitchen,Personal,Low
Buy blog post,Shopping,High
Study project report,Shopping,High
Read notes,Work,Medium
Clean homework,Shopping,High
Renew bills,Study,High
Study slides,Study,Medium
Review kitchen,Study,High
Prepare license,Study,Medium
Submit book,Shopping,High
Attend notes,Work,High
Buy closet,Work,High
Submit project report,Work,Low
Prepare project report,Work,High
Watch trip,Personal,Medium
Attend project report,Work,Low
Review movie,Personal,High
Submit bills,Work,High
Pay appointment,Personal,High
Renew trip,Work,Low
Buy notes,Shopping,High
Study parents,Work,Medium
Study homework,Shopping,Low
Organize parents,Personal,Medium
Review trip,Work,Medium
Attend groceries,Work,Medium
Pay trip,Personal,Medium
Organize blog post,Study,Medium
Buy book,Personal,High
Call trip,Work,Low
Organize closet,Study,Low
Watch meeting,Work,High
Organize trip,Shopping,Medium
Read project report,Shopping,High
Pay ML chapter,Shopping,High
Buy parents,Study,Medium
Write project report,Study,Low
Prepare ML chapter,Study,High
Clean parents,Work,High
Read meeting,Shopping,Medium
Buy ML chapter,Study,Medium
Plan closet,Personal,High
Attend notes,Study,Low
Review bills,Study,High
Watch blog post,Work,High
Buy closet,Work,Low
Review slides,Shopping,Medium
Submit notes,Shopping,High
Call closet,Personal,High
Write trip,Shopping,Medium
Clean homework,Shopping,High
Study trip,Shopping,Medium
Plan bills,Personal,Medium
Read trip,Work,High
Call blog post,Study,Medium
Study groceries,Work,Low
Buy trip,Shopping,High
Write movie,Personal,Low
Study homework,Shopping,Medium
Attend project report,Shopping,Medium
Call meeting,Work,Medium
Buy meeting,Personal,Medium
Review closet,Study,Medium
Review kitchen,Study,Low
Call groceries,Personal,High
Attend notes,Personal,Medium
Finish project report,Study,Low
Watch movie,Shopping,High
Finish bills,Personal,Medium
Prepare groceries,Personal,Medium
Plan book,Study,Medium
Attend trip,Study,Medium
Clean groceries,Work,Medium
Attend book,Personal,High
Organize ML chapter,Shopping,Medium
Renew parents,Shopping,High
Finish book,Personal,Medium
Schedule kitchen,Study,Medium
Schedule notes,Personal,Medium
Attend groceries,Work,High
Attend parents,Personal,Low
Plan slides,Study,High
Review project report,Personal,Medium
Submit parents,Shopping,Medium
Prepare blog post,Work,Low
Schedule slides,Shopping,Medium
Call blog post,Work,Medium
Submit ML chapter,Study,High
Prepare appointment,Personal,Low
Watch project report,Shopping,Low
Organize ML chapter,Study,Low
Finish blog post,Personal,Medium
Finish groceries,Shopping,Medium
Buy slides,Shopping,High
Finish ML chapter,Shopping,High
Clean book,Study,Low
Clean parents,Personal,High
Write appointment,Shopping,High
Clean project report,Shopping,Medium
Write slides,Work,Low
Review meeting,Study,Medium
Review slides,Work,High
Organize bills,Personal,Low
Prepare project report,Personal,Medium
Study book,Work,High
Pay bills,Shopping,Medium
Attend project report,Personal,High
Plan ML chapter,Study,Low
Attend slides,Personal,High
Renew groceries,Work,Medium
Buy movie,Study,High
Study appointment,Work,High
Prepare slides,Study,High
Study book,Shopping,High
Organize appointment,Study,High
Watch project report,Work,Low
Renew project report,Study,High
Watch blog post,Work,High
Finish closet,Study,Low
Schedule bills,Work,Low
Buy slides,Study,Low
Pay closet,Study,High
Plan groceries,Shopping,High
Read movie,Personal,Medium
Pay license,Personal,Low
Schedule ML chapter,Study,High
Attend notes,Study,High
Read notes,Work,Medium
Organize movie,Study,High
Call groceries,Work,Low
Buy license,Study,Medium
Schedule homework,Work,Medium
Prepare movie,Work,Medium
Finish meeting,Work,High
Read book,Study,Medium
Review appointment,Work,Medium
Study book,Shopping,Medium
Plan bills,Work,Low
Watch bills,Study,High
Study blog post,Study,High
Renew parents,Work,Medium
Review bills,Work,Low
Call parents,Shopping,High
Watch movie,Study,Medium
Clean meeting,Shopping,Low
Clean groceries,Study,Low
Call project report,Study,Medium
Organize ML chapter,Personal,Low
Schedule notes,Personal,High
Watch ML chapter,Study,Medium
Submit meeting,Work,Low
Prepare appointment,Study,High
Schedule movie,Personal,Medium
Organize blog post,Shopping,High
Submit license,Personal,Medium
Finish appointment,Shopping,High
Prepare trip,Shopping,High
Renew slides,Work,Medium
Plan appointment,Shopping,High
Write groceries,Personal,Low
Renew slides,Study,Medium
